slice,strategy,family,scenario,cost_bps,execution_delay_days,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,Final_Equity,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,total_turnover,annualized_turnover,trade_days,avg_turnover_on_trade_days,total_cost_rate,final_cost_drag,MaxEffectiveLeverage,AvgEffectiveLeverage,PeriodicRebalance
2019_2021,TQQQ buy-and-hold,raw_tqqq,base_0bps,0.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133310721994,-0.699220826019683,1.5264324106990408,1.3433525822429884,8.860750907704077,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0,0.0,3.0,3.0,False
2019_2021,TQQQ buy-and-hold,raw_tqqq,cost_5bps_delay0d,5.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.067313331072199,-0.699220826019683,1.5264324106990401,1.3433525822429868,8.856320532250216,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0005,0.004430375453861046,3.0,3.0,False
2019_2021,TQQQ buy-and-hold,raw_tqqq,cost_10bps_delay0d,10.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133310722007,-0.699220826019683,1.5264324106990428,1.3433525822429877,8.851890156796387,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.001,0.008860750907690118,3.0,3.0,False
2019_2021,TQQQ buy-and-hold,raw_tqqq,cost_25bps_delay0d,25.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133310722003,-0.6992208260196829,1.5264324106990423,1.3433525822429877,8.83859903043483,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0025,0.02215187726924661,3.0,3.0,False
2019_2021,TQQQ buy-and-hold,raw_tqqq,cost_50bps_delay0d,50.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133310722003,-0.699220826019683,1.5264324106990421,1.343352582242988,8.816447153165566,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.005,0.04430375453851099,3.0,3.0,False
2019_2021,TQQQ buy-and-hold,raw_tqqq,stress_10bps_delay1d,10.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133310722007,-0.699220826019683,1.5264324106990428,1.3433525822429877,8.851890156796387,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.001,0.008860750907690118,3.0,3.0,False
2019_2021,TQQQ buy-and-hold,raw_tqqq,stress_25bps_delay1d,25.0,1,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133310722003,-0.6992208260196829,1.5264324106990423,1.3433525822429877,8.83859903043483,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0025,0.02215187726924661,3.0,3.0,False
2019_2021,70/30 TQQQ/QQQ,static_blend,base_0bps,0.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111412,-0.597826522259491,1.4714039418768463,1.3422157412709663,6.657552793181032,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0,0.0,2.3999999999999995,2.399999999999999,False
2019_2021,70/30 TQQQ/QQQ,static_blend,cost_5bps_delay0d,5.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111412,-0.597826522259491,1.4714039418768463,1.3422157412709659,6.6542240167844415,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0005,0.0033287763965903494,2.3999999999999995,2.399999999999999,False
2019_2021,70/30 TQQQ/QQQ,static_blend,cost_10bps_delay0d,10.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111399,-0.5978265222594907,1.4714039418768448,1.3422157412709648,6.650895240387836,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.001,0.006657552793195798,2.3999999999999995,2.399999999999999,False
2019_2021,70/30 TQQQ/QQQ,static_blend,cost_25bps_delay0d,25.0,0,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443014111397,-0.597826522259491,1.4714039418768439,1.3422157412709657,6.640908911198063,1.067313331072202,-0.6992208260196829,1.0,0.332892998678996,1,1.0,0.0025,0.016643881982968622,2.3999999999999995,2.399999999999999,False
