slice,strategy,family,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,CAGR_over_Vol,Final_Equity,AvgEffectiveLeverage,MaxEffectiveLeverage,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,Benchmark_TQQQ_Calmar,Benchmark_TQQQ_Sharpe_DailyExcess,Benchmark_TQQQ_Final_Equity,QQQ5_Used,DL_Used,Bandit_Used,Kelly_Used,strategy_cagr,strategy_maxdd,strategy_calmar,strategy_sharpe_daily_excess,strategy_final_equity,avg_effective_leverage,max_effective_leverage,tqqq_cagr,tqqq_maxdd,tqqq_calmar,tqqq_sharpe_daily_excess,tqqq_final_equity,ma_window,risk_off_asset,confirmation_days,time_in_risk_on,time_in_risk_off,switches_per_year,avg_days_in_risk_on,avg_days_in_risk_off,worst_missed_up_month,worst_missed_up_month_gap,best_avoided_down_month,best_avoided_down_month_gain,Rank_Calmar_In_Slice,Rank_Sharpe_In_Slice,Rank_CAGR_In_Slice,Rank_MaxDD_In_Slice
2019_2021,MA200 risk-off QQQ,ma_regime_variant,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9317831715475886,-0.5867278692605404,1.5881010948430405,1.3616853520515582,1.5309698917087888,7.227862644963027,2.857331571994716,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,False,False,False,False,0.9317831715475886,-0.5867278692605404,1.5881010948430405,1.3616853520515582,7.227862644963027,2.857331571994716,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,200,qqq,1,0.9286657859973579,0.071334214002642,3.6618229854689566,117.16666666666667,9.0,2019-01,-0.17906084834770075,2020-03,0.09543744890840244,2.0,2.0,2.0,3.0
2019_2021,MA200 risk-off cash,ma_regime_variant,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7880239708492138,-0.5480637480376829,1.4378326858338972,1.2537126035907429,1.33522720661649,5.729562904568642,2.785997357992074,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,False,False,False,False,0.7880239708492138,-0.5480637480376829,1.4378326858338972,1.2537126035907429,5.729562904568642,2.785997357992074,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,200,cash,1,0.9286657859973579,0.071334214002642,3.6618229854689566,117.16666666666667,9.0,2019-01,-0.26916858322465553,2020-03,0.0742284726227812,4.0,4.0,5.0,1.0
2019_2021,MA150 risk-off QQQ,ma_regime_variant,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9227869157431492,-0.5867278692605404,1.5727681674745528,1.3535026802904027,1.5152718704418673,7.1272203415222855,2.8494055482166445,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,False,False,False,False,0.9227869157431492,-0.5867278692605404,1.5727681674745528,1.3535026802904027,7.1272203415222855,2.8494055482166445,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,150,qqq,1,0.9247027741083224,0.07529722589167767,2.9960369881109643,140.0,11.4,2019-01,-0.17906084834770075,2020-03,0.09543744890840244,3.0,3.0,3.0,3.0
2019_2021,MA250 risk-off QQQ,ma_regime_variant,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.005048788978534,-0.5867278692605403,1.7129726430844476,1.4212427426006613,1.6477438367011907,8.083021666240956,2.8758256274768823,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,False,False,False,False,1.005048788978534,-0.5867278692605403,1.7129726430844476,1.4212427426006613,8.083021666240956,2.8758256274768823,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,250,qqq,1,0.9379128137384413,0.062087186261558784,2.9960369881109643,142.0,9.4,2019-01,-0.17906084834770075,2020-03,0.09543744890840244,1.0,1.0,1.0,2.0
2019_2021,MA200 risk-off QQQ with 5-day confirmation,ma_regime_variant,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8150337065972961,-0.6844824316412799,1.1907299134661136,1.2047330718591254,1.200549602216726,5.9935123440396065,2.8546895640686922,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,False,False,False,False,0.8150337065972961,-0.6844824316412799,1.1907299134661136,1.2047330718591254,5.9935123440396065,2.8546895640686922,3.0,1.0673133239602968,-0.6992207514893936,1.5264325632310511,1.3433527633810518,8.86075081613573,200,qqq,5,0.9273447820343461,0.0726552179656539,0.9986789960369881,351.0,27.5,2020-04,-0.22252305330573208,2019-05,0.0,5.0,5.0,4.0,5.0
2022_2023,MA200 risk-off QQQ,ma_regime_variant,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.03563932060680841,-0.563981582960226,0.06319234826737564,0.25978603953858764,0.078785361229715,1.0721017584465884,1.9940119760479043,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,False,False,False,False,0.03563932060680841,-0.563981582960226,0.06319234826737564,0.25978603953858764,1.0721017584465884,1.9940119760479043,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,200,qqq,1,0.49700598802395207,0.5029940119760479,7.04191616766467,31.125,36.0,2022-07,-0.26448297286630695,2022-09,0.19993060246684946,4.0,4.0,4.0,4.0
2022_2023,MA200 risk-off cash,ma_regime_variant,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.08369869901467153,-0.514645482040659,0.16263370015955764,0.35085601861431814,0.21348506948337134,1.173279617293442,1.4910179640718564,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,False,False,False,False,0.08369869901467153,-0.514645482040659,0.16263370015955764,0.35085601861431814,1.173279617293442,1.4910179640718564,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,200,cash,1,0.49700598802395207,0.5029940119760479,7.04191616766467,31.125,36.0,2022-07,-0.3900002030236547,2022-04,0.3059958378187988,2.0,2.0,2.0,2.0
2022_2023,MA150 risk-off QQQ,ma_regime_variant,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.12019281980870389,-0.5092469073048862,0.2360207162470688,0.4325153810023255,0.27175264372965696,1.253137569135974,2.0059880239520957,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,False,False,False,False,0.12019281980870389,-0.5092469073048862,0.2360207162470688,0.4325153810023255,1.253137569135974,2.0059880239520957,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,150,qqq,1,0.5029940119760479,0.49700598802395207,6.0359281437125745,36.0,41.5,2022-07,-0.26448297286630695,2022-04,0.23616373782636102,1.0,1.0,1.0,1.0
2022_2023,MA250 risk-off QQQ,ma_regime_variant,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.07000844935384909,-0.6289114427752862,-0.11131686369850886,0.018800943057084487,-0.15602150356865505,0.8656319061390796,1.966067864271457,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,False,False,False,False,-0.07000844935384909,-0.6289114427752862,-0.11131686369850886,0.018800943057084487,0.8656319061390796,1.966067864271457,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,250,qqq,1,0.48303393213572854,0.5169660678642715,9.053892215568862,24.2,28.77777777777778,2022-07,-0.26448297286630695,2022-04,0.22917181405471732,5.0,5.0,5.0,5.0
2022_2023,MA200 risk-off QQQ with 5-day confirmation,ma_regime_variant,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.06956107422888902,-0.5371282542743997,0.12950552065606427,0.32660378060234807,0.15981576122438695,1.1430454307855555,1.970059880239521,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,False,False,False,False,0.06956107422888902,-0.5371282542743997,0.12950552065606427,0.32660378060234807,1.1430454307855555,1.970059880239521,3.0,-0.2228750476539233,-0.8101574910947498,-0.2751008910042375,0.03926502434905747,0.6057387929486893,200,qqq,5,0.48502994011976047,0.5149700598802395,1.0059880239520957,121.5,258.0,2022-07,-0.26448297286630695,2022-04,0.23616373782636102,3.0,3.0,3.0,3.0
