slice,strategy,family,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Sharpe_DailyExcess,CAGR_over_Vol,Final_Equity,AvgEffectiveLeverage,MaxEffectiveLeverage,Benchmark_TQQQ_CAGR,Benchmark_TQQQ_MaxDD,Benchmark_TQQQ_Calmar,Benchmark_TQQQ_Sharpe_DailyExcess,Benchmark_TQQQ_Final_Equity,QQQ5_Used,DL_Used,Bandit_Used,Kelly_Used,strategy_cagr,strategy_maxdd,strategy_calmar,strategy_sharpe_daily_excess,strategy_final_equity,avg_effective_leverage,max_effective_leverage,tqqq_cagr,tqqq_maxdd,tqqq_calmar,tqqq_sharpe_daily_excess,tqqq_final_equity,Rank_Calmar_In_Slice,Rank_Sharpe_In_Slice,Rank_CAGR_In_Slice,Rank_MaxDD_In_Slice
2019_2021,Static 100% TQQQ,static,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,1.4556912086120204,8.860752518246898,3.0,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,3.0,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,3.0,3.0,1.0,10.0
2019_2021,Static 80% TQQQ + 20% cash,static,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8715623583122614,-0.5986021082123527,1.4559961389295286,1.3365333165155602,1.4858868960082021,6.5719323076684795,2.3999999999999995,2.4000000000000004,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.8715623583122614,-0.5986021082123527,1.4559961389295286,1.3365333165155602,6.5719323076684795,2.3999999999999995,2.4000000000000004,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,5.0,7.0,4.0,8.0
2019_2021,Static 70% TQQQ + 30% QQQ,static,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443262891125,-0.5978265187403768,1.471403992152317,1.3422158219783873,1.4962105265071282,6.6575530578781725,2.399999999999999,2.3999999999999995,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.8796443262891125,-0.5978265187403768,1.471403992152317,1.3422158219783873,6.6575530578781725,2.399999999999999,2.3999999999999995,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,4.0,4.0,3.0,7.0
2019_2021,Static 50% TQQQ + 50% QQQ,static,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414683030050826,-0.5187919705428947,1.4292208536480744,1.3410074884669685,1.5098549658755063,5.293010269414032,2.0,2.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.7414683030050826,-0.5187919705428947,1.4292208536480744,1.3410074884669685,5.293010269414032,2.0,2.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,7.0,5.0,7.0,4.0
2019_2021,Static 30% TQQQ + 70% QQQ,static,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.5973175453637647,-0.4302945966634457,1.3881595306923078,1.339063809240672,1.5148866635864842,4.083014238910929,1.5999999999999999,1.5999999999999999,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.5973175453637647,-0.4302945966634457,1.3881595306923078,1.339063809240672,4.083014238910929,1.5999999999999999,1.5999999999999999,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,8.0,6.0,9.0,3.0
2019_2021,"MA200 QQQ regime, risk-off cash",ma_regime,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7880240814149224,-0.5480636703555366,1.4378330913700594,1.253712533950675,1.3352270579380718,5.729563968868425,2.785997357992074,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.7880240814149224,-0.5480636703555366,1.4378330913700594,1.253712533950675,5.729563968868425,2.785997357992074,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,6.0,9.0,6.0,5.0
2019_2021,"MA200 QQQ regime, risk-off QQQ",ma_regime,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9317832840106792,-0.5867279015623548,1.5881011990899048,1.3616851942804433,1.5309695783134916,7.227863908991599,2.857331571994716,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.9317832840106792,-0.5867279015623548,1.5881011990899048,1.3616851942804433,7.227863908991599,2.857331571994716,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,2.0,2.0,2.0,6.0
2019_2021,"Vol target TQQQ 35%, 20d",vol_target,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.6007826619539154,-0.2999859249798037,2.0027028334558117,1.401649841799244,1.6142744518115826,4.109679539378853,2.0348406731065753,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.6007826619539154,-0.2999859249798037,2.0027028334558117,1.401649841799244,4.109679539378853,2.0348406731065753,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,1.0,1.0,8.0,1.0
2019_2021,"Vol target TQQQ 35%, 60d",vol_target,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.4873390105000299,-0.42232859208627505,1.1539332634160708,1.1929455516319438,1.2927215644399082,3.2954450420938493,1.8698037100783982,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.4873390105000299,-0.42232859208627505,1.1539332634160708,1.1929455516319438,3.2954450420938493,1.8698037100783982,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,10.0,10.0,10.0,2.0
2019_2021,"QQQ drawdown control 20%, risk-off QQQ",drawdown_control,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8523247928292261,-0.6380184837186682,1.3358935745269966,1.2725923589785324,1.3506188930264342,6.371090711650775,2.88110964332893,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,False,False,False,False,0.8523247928292261,-0.6380184837186682,1.3358935745269966,1.2725923589785324,6.371090711650775,2.88110964332893,3.0,1.0673134561593467,-0.6992207583607348,1.526432737296837,1.3433527339988267,8.860752518246898,9.0,8.0,5.0,9.0
2022_2023,Static 100% TQQQ,static,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,-0.2867551771103607,0.6057387265295809,3.0,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,3.0,3.0,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,9.0,8.0,9.0,10.0
2022_2023,Static 80% TQQQ + 20% cash,static,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.1418230488738541,-0.7149632205522424,-0.19836411831689613,0.032831937320979075,-0.22809016815322208,0.7378098417068205,2.4,2.4000000000000004,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,-0.1418230488738541,-0.7149632205522424,-0.19836411831689613,0.032831937320979075,0.7378098417068205,2.4,2.4000000000000004,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,8.0,9.0,8.0,8.0
2022_2023,Static 70% TQQQ + 30% QQQ,static,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13333999847849431,-0.7129564328049318,-0.1870240485157061,0.04927206255916031,-0.21421799452072607,0.7523802769479955,2.3999999999999995,2.3999999999999995,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,False,False,False,False,-0.13333999847849431,-0.7129564328049318,-0.1870240485157061,0.04927206255916031,0.7523802769479955,2.3999999999999995,2.3999999999999995,-0.222875090514828,-0.8101575498782154,-0.2751009239478556,0.039265028978908795,0.6057387265295809,7.0,7.0,7.0,7.0
