slice,strategy,family,train_start,train_end,test_start,test_end,CAGR,MaxDD,Calmar,Final_Equity,trades_per_year,switches_per_year,average_turnover_per_year,max_annual_turnover,number_sell_events,number_buy_events,estimated_taxable_events_proxy,taxable_sell_notional_proxy,average_holding_period_proxy_days,short_holding_risk_proxy,percentage_years_with_no_trades,worst_calendar_year_turnover,worst_calendar_year,ongoing_max_annual_turnover,worst_calendar_year_ongoing_turnover,worst_calendar_year_ongoing,operational_burden_score,trade_days,ongoing_trade_days,total_turnover,ongoing_turnover,PeriodicRebalance,TaxAdvice,burden_score_70_30,trades_per_year_70_30,turnover_per_year_70_30,extra_burden_vs_70_30,extra_trades_per_year_vs_70_30,extra_turnover_per_year_vs_70_30,burden_score_50_50,trades_per_year_50_50,turnover_per_year_50_50,extra_burden_vs_50_50,extra_trades_per_year_vs_50_50,extra_turnover_per_year_vs_50_50,burden_score_tqqq_buy_hold,trades_per_year_tqqq_buy_hold,turnover_per_year_tqqq_buy_hold,extra_burden_vs_tqqq_buy_hold,extra_trades_per_year_vs_tqqq_buy_hold,extra_turnover_per_year_vs_tqqq_buy_hold
2019_2021,TQQQ buy-and-hold,raw_tqqq,2015-01-01,2018-12-31,2019-01-01,2021-12-31,1.0673133971717341,-0.6992207380103261,1.5264326973608324,8.86075175875976,0.332892998678996,0.0,0.332892998678996,1.0,0,1,0,0.0,757.0,0.03963011889035667,1.0,1.0,2019,0.0,0.0,2019,3.75891677675033,1,0,1.0,0.0,False,False,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0
2019_2021,70/30 TQQQ/QQQ,static_blend,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.8796443913119378,-0.5978264472921524,1.4714042767700832,6.65755374970938,0.332892998678996,0.0,0.332892998678996,1.0,0,1,0,0.0,757.0,0.03963011889035667,1.0,1.0,2019,0.0,0.0,2019,3.75891677675033,1,0,1.0,0.0,False,False,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0
2019_2021,50/50 TQQQ/QQQ,static_blend,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7414684249057237,-0.5187918626808942,1.4292213857675649,5.293011382397007,0.332892998678996,0.0,0.332892998678996,1.0,0,1,0,0.0,757.0,0.03963011889035667,1.0,1.0,2019,0.0,0.0,2019,3.75891677675033,1,0,1.0,0.0,False,False,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0,3.75891677675033,0.332892998678996,0.332892998678996,0.0,0.0,0.0
2019_2021,MA150 risk-off QQQ,ma_regime,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9227872382928093,-0.5867279532413807,1.572768492100756,7.12722393306493,3.3289299867899604,2.9960369881109643,6.324966974900924,11.0,9,10,9,9.0,75.7,0.3963011889035667,0.3333333333333333,11.0,2019,10.0,10.0,2019,60.06142668428005,10,9,19.0,18.0,False,False,3.75891677675033,0.332892998678996,0.332892998678996,56.30250990752972,2.9960369881109643,5.992073976221929,3.75891677675033,0.332892998678996,0.332892998678996,56.30250990752972,2.9960369881109643,5.992073976221929,3.75891677675033,0.332892998678996,0.332892998678996,56.30250990752972,2.9960369881109643,5.992073976221929
2019_2021,MA200 risk-off QQQ,ma_regime,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.9317837166743668,-0.5867279532413807,1.5881017966277629,7.2278687719152,3.9947159841479523,3.6618229854689566,7.656538969616909,15.0,11,12,11,11.0,63.083333333333336,0.47556142668428003,0.3333333333333333,15.0,2019,14.0,14.0,2019,75.23976221928665,12,11,23.0,22.0,False,False,3.75891677675033,0.332892998678996,0.332892998678996,71.48084544253632,3.661822985468956,7.323645970937913,3.75891677675033,0.332892998678996,0.332892998678996,71.48084544253632,3.661822985468956,7.323645970937913,3.75891677675033,0.332892998678996,0.332892998678996,71.48084544253632,3.661822985468956,7.323645970937913
2019_2021,MA150 risk-off cash,ma_regime,2015-01-01,2018-12-31,2019-01-01,2021-12-31,0.7765903237975063,-0.5480637340777101,1.4169708293221848,5.620206888891289,2.9960369881109643,2.9960369881109643,2.9960369881109643,5.0,4,5,4,4.0,75.7,0.3963011889035667,0.3333333333333333,5.0,2019,5.0,5.0,2019,40.40885072655218,9,9,9.0,9.0,False,False,3.75891677675033,0.332892998678996,0.332892998678996,36.64993394980185,2.663143989431968,2.663143989431968,3.75891677675033,0.332892998678996,0.332892998678996,36.64993394980185,2.663143989431968,2.663143989431968,3.75891677675033,0.332892998678996,0.332892998678996,36.64993394980185,2.663143989431968,2.663143989431968
2022_2023,TQQQ buy-and-hold,raw_tqqq,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.22287504765392308,-0.8101575144331945,-0.27510088307932534,0.6057387929486896,0.5029940119760479,0.0,0.5029940119760479,1.0,0,1,0,0.0,501.0,0.059880239520958084,1.0,1.0,2022,0.0,0.0,2022,4.913173652694611,1,0,1.0,0.0,False,False,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0
2022_2023,70/30 TQQQ/QQQ,static_blend,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.13333998915654544,-0.7129564271390564,-0.18702403692692787,0.7523802930371253,0.5029940119760479,0.0,0.5029940119760479,1.0,0,1,0,0.0,501.0,0.059880239520958084,1.0,1.0,2022,0.0,0.0,2022,4.913173652694611,1,0,1.0,0.0,False,False,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0
2022_2023,50/50 TQQQ/QQQ,static_blend,2015-01-01,2021-12-31,2022-01-01,2023-12-29,-0.08054107115778075,-0.6296048821973039,-0.12792319982763573,0.8462502461810225,0.5029940119760479,0.0,0.5029940119760479,1.0,0,1,0,0.0,501.0,0.059880239520958084,1.0,1.0,2022,0.0,0.0,2022,4.913173652694611,1,0,1.0,0.0,False,False,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0,4.913173652694611,0.5029940119760479,0.5029940119760479,0.0,0.0,0.0
2022_2023,MA150 risk-off QQQ,ma_regime,2015-01-01,2021-12-31,2022-01-01,2023-12-29,0.12019272683953952,-0.5092472358863389,0.23602038139754547,1.253137362368577,6.538922155688622,6.0359281437125745,12.574850299401197,19.0,12,13,12,12.0,38.53846153846154,0.778443113772455,0.0,19.0,2022,18.0,18.0,2022,100.0,13,12,25.0,24.0,False,False,4.913173652694611,0.5029940119760479,0.5029940119760479,95.08682634730539,6.0359281437125745,12.071856287425149,4.913173652694611,0.5029940119760479,0.5029940119760479,95.08682634730539,6.0359281437125745,12.071856287425149,4.913173652694611,0.5029940119760479,0.5029940119760479,95.08682634730539,6.0359281437125745,12.071856287425149
